Wall time,Step,Value
1495126418.878368,0,0.06876075267791748
1495126532.342593,200,0.016196012496948242
1495126627.336717,400,0.007202088832855225
1495126720.6932476,600,0.003347158432006836
1495126815.5728648,800,0.003912806510925293
1495127132.0964026,1000,0.003033161163330078
1495127238.1222315,1200,0.005687415599822998
1495127330.4611871,1400,0.006175041198730469
1495127423.5911531,1600,0.0035085082054138184
1495127515.9493337,1800,0.005618691444396973
1495127831.9711473,2000,0.0037314891815185547
1495127942.0684903,2200,0.004143416881561279
1495128041.9280453,2400,0.0027581453323364258
1495128146.8487625,2600,0.003995299339294434
1495128242.1856685,2800,0.004003405570983887
1495128560.1553836,3000,0.005140900611877441
1495128667.242923,3200,0.004185795783996582
1495128762.7268064,3400,0.0023979544639587402
1495128854.9592128,3600,0.0029656291007995605
1495128949.3129785,3800,0.0030736327171325684
1495129261.558158,4000,0.003311336040496826
1495129371.4204602,4200,0.0031819939613342285
1495129463.8989632,4400,0.002613246440887451
1495129560.0635667,4600,0.0023869872093200684
1495129652.9134839,4800,0.004607737064361572
1495129965.8918998,5000,0.0019258856773376465
1495130079.2557485,5200,0.0027204155921936035
1495130170.9328797,5400,0.0026124119758605957
1495130263.3673835,5600,0.002646923065185547
1495130358.5443075,5800,0.0041158199310302734
1495130668.624616,6000,0.0011281967163085938
1495130774.066467,6200,0.0019657015800476074
1495130865.602256,6400,0.0020053982734680176
1495130957.0977871,6600,0.002616703510284424
1495131051.0903032,6800,0.0025169849395751953
1495131364.0229154,7000,0.0019519329071044922
1495131476.5031102,7200,0.002814054489135742
1495131569.8734527,7400,0.0015434622764587402
1495131664.8460011,7600,0.002204000949859619
1495131760.761944,7800,0.0026476383209228516
1495132077.1723187,8000,0.002068161964416504
1495132184.9664533,8200,0.0015853047370910645
1495132277.9866962,8400,0.0017714500427246094
1495132372.3119688,8600,0.0013526082038879395
1495132468.1779501,8800,0.0020717382431030273
1495132786.1610575,9000,0.0021831393241882324
1495132901.9453647,9200,0.0007776618003845215
